experiment,feature_set,model,best_cv_f1w,test_acc,test_f1_weighted,test_f1_macro,class0_recall,class1_recall,class2_recall,class0_precision,class1_precision,class2_precision,class0_f1,class1_f1,class2_f1
A1,static,xgb,0.8222627393203353,0.715927750410509,0.7424588926948427,0.5179193115917943,0.7574468085106383,0.5748031496062992,0.5833333333333334,0.8877805486284289,0.46496815286624205,0.13725490196078433,0.817451205510907,0.5140845070422535,0.2222222222222222
A2,static,rf,0.8121480969054227,0.6748768472906403,0.714824386240539,0.49198346005068694,0.6893617021276596,0.6299212598425197,0.5833333333333334,0.8925619834710744,0.4624277456647399,0.0958904109589041,0.7779111644657863,0.5333333333333333,0.16470588235294117
A3,static,lr,0.5295701015739744,0.2889983579638752,0.32745050299152556,0.27327905491698595,0.18723404255319148,0.6062992125984252,0.9166666666666666,0.8,0.3452914798206278,0.03985507246376811,0.30344827586206896,0.44,0.0763888888888889
B1,temporal,xgb,0.8944066008839755,0.7307060755336617,0.7396812760840321,0.5091625153269975,0.8021276595744681,0.5039370078740157,0.3333333333333333,0.843400447427293,0.463768115942029,0.16666666666666666,0.822246455834242,0.4830188679245283,0.2222222222222222
B2,temporal,rf,0.8855399317649033,0.715927750410509,0.7299693097383103,0.5285107022116566,0.7702127659574468,0.5354330708661418,0.5,0.8477751756440282,0.4444444444444444,0.20689655172413793,0.8071348940914158,0.4857142857142857,0.2926829268292683
B3,temporal,lr,0.6511245818507669,0.48932676518883417,0.5559304973924915,0.3901299402989746,0.4553191489361702,0.5748031496062992,0.9166666666666666,0.8629032258064516,0.36683417085427134,0.06790123456790123,0.596100278551532,0.44785276073619634,0.12643678160919541
