experiment,feature_set,model,accuracy,precision,recall,f1,roc_auc
A1,static,xgb,0.7389162561576355,0.4519230769230769,0.6762589928057554,0.5417867435158501,0.7908617786621766
A2,static,rf,0.6962233169129721,0.4065040650406504,0.7194244604316546,0.5194805194805194,0.7828409612735344
A3,static,lr,0.3366174055829228,0.23446893787575152,0.841726618705036,0.3667711598746082,0.5380223480789836
B1,temporal,xgb,0.7323481116584565,0.42592592592592593,0.49640287769784175,0.4584717607973422,0.7371575080361242
B2,temporal,rf,0.715927750410509,0.4065934065934066,0.5323741007194245,0.46105919003115264,0.736973825195163
B3,temporal,lr,0.5238095238095238,0.29085872576177285,0.7553956834532374,0.42,0.6601025562528701
